Station,Adres,Euro95 E10,Diesel B7,SuperPlus98 E5,LPG,HVO100,AdBlue,AardgasCNG,Propaangas
Almelo,Henriëtte Roland Holstlaan 63,"€ 1,889 ","€ 1,579 ","€ 2,099 ",,,,,
Almere,Dukdalfweg 11,"€ 1,909 ","€ 1,579 ","€ 2,119 ",,"€ 2,259 ","€ 0,937 ",,
Bant,Banterkade 1,"€ 1,899 ","€ 1,579 ",,,,"€ 0,937 ",,
Biddinghuizen,Baan 43,"€ 1,899 ","€ 1,579 ","€ 2,099 ","€ 0,689 ",,,,
Bunschoten,Het Steenland 2,"€ 1,889 ","€ 1,579 ","€ 2,089 ",,,"€ 0,937 ",,"€ 0,820 "
Delft,Westlandseweg 119,"€ 1,899 ","€ 1,579 ","€ 2,099 ",,"€ 2,259 ",,,
Dordrecht,Amalia van Solmsstraat 1,"€ 1,939 ","€ 1,619 ",,,,,,
De Ketting,De Ketting 1,"€ 1,899 ","€ 1,579 ","€ 2,099 ",,,,,
De Noord,De Noord 99a,"€ 1,899 ","€ 1,579 ",,"€ 0,689 ",,,,
Dronten West,Het Gein 2,"€ 1,899 ","€ 1,579 ","€ 2,099 ",,"€ 2,259 ","€ 0,937 ",,
Ede,Klaphekweg 16 G,"€ 1,899 ","€ 1,579 ","€ 2,109 ",,,,,
Emmeloord,Traktieweg 2,"€ 1,899 ","€ 1,579 ","€ 2,099 ",,,,,
Emmen,Edisonstraat 2,"€ 1,899 ","€ 1,539 ",,,,,,
Hardenberg,De Brink 7,"€ 1,919 ","€ 1,599 ",,,,,,
Heerenveen,Saturnus 6,"€ 1,899 ","€ 1,579 ",,,,"€ 0,937 ",,
Hoorn,Van Aalstweg 13,"€ 1,899 ","€ 1,579 ","€ 2,109 ",,,"€ 0,937 ",,
Kempenaar,Kempenaar 01-01,"€ 1,899 ","€ 1,589 ","€ 2,109 ",,,,,
Noordersluis,Zuiveringweg 7,"€ 1,899 ","€ 1,589 ","€ 2,109 ",,"€ 2,259 ","€ 0,937 ","€ 1,699 ",
Oostervaart,Binnenhavenweg 40,"€ 1,899 ","€ 1,589 ","€ 2,109 ",,"€ 2,259 ","€ 0,937 ",,
Ommen,Vermeerstraat 2,"€ 1,939 ","€ 1,599 ",,,,,,
Rogat/De Wijk,Industrieweg 4,"€ 1,899 ","€ 1,579 ","€ 2,109 ",,,"€ 0,937 ",,
Schagen,De Fok 4,"€ 1,899 ","€ 1,579 ","€ 2,079 ",,"€ 2,259 ",,,
Scheveningen,Badhuisweg 8 F,"€ 1,899 ","€ 1,589 ","€ 2,109 ",,,,,
Swifterbant,Industrieweg 58,"€ 1,899 ","€ 1,579 ","€ 2,099 ",,,,,
Weerdinge,Viaductstraat 9,"€ 1,909 ","€ 1,579 ",,,,,,
Wezep,Rondweg 90,"€ 1,899 ","€ 1,579 ","€ 2,109 ",,"€ 2,259 ","€ 0,937 ",,
Zaandam,Paltrokstraat 17,"€ 1,899 ","€ 1,579 ","€ 2,099 ",,,,,
Zeewolde,Landbouwweg 18,"€ 1,899 ","€ 1,579 ","€ 2,099 ","€ 0,689 ","€ 2,259 ","€ 0,937 ",,
Zwolle,"Marconistraat 17, Marslanden C","€ 1,899 ","€ 1,579 ","€ 2,109 ",,,,"€ 1,699 ",
